Date,Value,Change,Delta
2025-09-02,"6,415.54",-0.006922322012,0
2025-08-29,"6,460.26",0.01906650324,1
2025-07-31,"6,339.39",0.02166657266,1
2025-06-30,"6,204.95",0.04960679603,1
2025-05-30,"5,911.69",0.06152384783,1
2025-04-30,"5,569.06",-0.007624936518,0
2025-03-31,"5,611.85",-0.05754471408,0
2025-02-28,"5,954.50",-0.01424212776,0
2025-01-31,"6,040.53",0.02701632031,1
2024-12-31,"5,881.63",-0.02499013656,0
2024-11-29,"6,032.38",0.05730135222,1
2024-10-31,"5,705.45",-0.009896780553,0
2024-09-30,"5,762.48",0.02019686991,1
2024-08-30,"5,648.40",0.02283468845,1
2024-07-31,"5,522.30",0.01132134904,1
2024-06-28,"5,460.48",0.03466975903,1
2024-05-31,"5,277.51",0.0480212245,1
2024-04-30,"5,035.69",-0.04161504277,0
2024-03-28,"5,254.35",0.0310187647,1
2024-02-29,"5,096.27",0.0517206154,1
2024-01-31,"4,845.65",0.01589574471,1
2023-12-29,"4,769.83",0.0442291694,1
2023-11-30,"4,567.80",0.08917926463,1
2023-10-31,"4,193.80",-0.02197968774,0
2023-09-29,"4,288.05",-0.04871929116,0
2023-08-31,"4,507.66",-0.01771643248,0
2023-07-31,"4,588.96",0.03113891398,1
2023-06-30,"4,450.38",0.06472751284,1
2023-05-31,"4,179.83",0.002482323935,1
2023-04-28,"4,169.48",0.01464236088,1
2023-03-31,"4,109.31",0.03505157236,1
2023-02-28,"3,970.15",-0.02611244665,0
2023-01-31,"4,076.60",0.0617528324,1
2022-12-31,"3,839.50",-0.0589714493,0
2022-11-30,"4,080.11",0.05375286029,1
2022-10-31,"3,871.98",0.07986345458,1
2022-09-30,"3,585.62",-0.09339570164,0
2022-08-31,"3,955.00",-0.04244011922,0
2022-07-29,"4,130.29",0.09111634763,1
2022-06-30,"3,785.38",-0.08391999322,0
2022-05-31,"4,132.15",0.00005324388361,1
2022-04-29,"4,131.93",-0.08795671915,0
2022-03-31,"4,530.41",0.03577323877,1
2022-02-28,"4,373.94",-0.03136052087,0
2022-01-31,"4,515.55",-0.05258508911,0
2021-12-31,"4,766.18",0.04361287497,1
2021-11-30,"4,567.00",-0.008333731418,0
2021-10-29,"4,605.38",0.0691438733,1
2021-09-30,"4,307.54",-0.04756914042,0
2021-08-31,"4,522.68",0.02899032139,1
2021-07-30,"4,395.26",0.02274810937,1
2021-06-30,"4,297.50",0.02221397632,1
2021-05-28,"4,204.11",0.005486502582,1
2021-04-30,"4,181.17",0.05242531256,1
2021-03-31,"3,972.89",0.04243863401,1
2021-02-26,"3,811.15",0.02609147497,1
2021-01-29,"3,714.24",-0.01113664016,0
2020-12-31,"3,756.07",0.03712140666,1
2020-11-30,"3,621.63",0.1075456581,1
2020-10-30,"3,269.96",-0.02766577461,0
2020-09-30,"3,363.00",-0.0392279541,0
2020-08-31,"3,500.31",0.07006468732,1
2020-07-31,"3,271.12",0.05510129698,1
2020-06-30,"3,100.29",0.01838840328,1
2020-05-29,"3,044.31",0.04528177501,1
2020-04-30,"2,912.43",0.1268441029,1
2020-03-31,"2,584.59",-0.1251193208,0
2020-02-28,"2,954.22",-0.08411046901,0
2020-01-31,"3,225.52",-0.001628089811,0
2019-12-31,"3,230.78",0.02858980318,1
2019-11-29,"3,140.98",0.03404706409,1
2019-10-31,"3,037.56",0.02043174748,1
2019-09-30,"2,976.74",0.01718116769,1
2019-08-30,"2,926.46",-0.01809165274,0
2019-07-31,"2,980.38",0.01312819537,1
2019-06-28,"2,941.76",0.06893018321,1
2019-05-31,"2,752.06",-0.06577772648,0
2019-04-30,"2,945.83",0.03931343494,1
2019-03-29,"2,834.40",0.01792428775,1
2019-02-28,"2,784.49",0.02972893014,1
2019-01-31,"2,704.10",0.07868440473,1
2018-12-31,"2,506.85",-0.09177695577,0
2018-11-30,"2,760.17",0.0178593818,1
2018-10-31,"2,711.74",-0.06940335898,0
2018-09-28,"2,913.98",0.004294300918,1
2018-08-31,"2,901.52",0.03026321863,1
2018-07-31,"2,816.29",0.03602158647,1
2018-06-29,"2,718.37",0.004842400204,1
2018-05-31,"2,705.27",0.02160835332,1
2018-04-30,"2,648.05",0.002718801001,1
2018-03-29,"2,640.87",-0.02688451377,0
2018-02-28,"2,713.83",-0.0389473796,0
2018-01-31,"2,823.81",0.05617872465,1
2017-12-29,"2,673.61",0.009831619819,1
2017-11-30,"2,647.58",0.02808260137,1
2017-10-31,"2,575.26",0.02218817477,1
2017-09-29,"2,519.36",0.01930289483,1
2017-08-31,"2,471.65",0.0005464923289,1
2017-07-31,"2,470.30",0.01934876888,1
2017-06-30,"2,423.41",0.004813831993,1
2017-05-31,"2,411.80",0.01157621005,1
2017-04-28,"2,384.20",0.009091216903,1
2017-03-31,"2,362.72",-0.0003892301704,0
2017-02-28,"2,363.64",0.03719826054,1
2017-01-31,"2,278.87",0.01788434137,1
2016-12-30,"2,238.83",0.01820075404,1
2016-11-30,"2,198.81",0.03417444677,1
2016-10-31,"2,126.15",-0.01942562504,0
2016-09-30,"2,168.27",-0.0012344826,0
2016-08-31,"2,170.95",-0.001219175561,0
2016-07-29,"2,173.60",0.03560980723,1
2016-06-30,"2,098.86",0.0009060735541,1
2016-05-31,"2,096.96",0.01532949208,1
2016-04-29,"2,065.30",0.002699369823,1
2016-03-31,"2,059.74",0.06599110872,1
2016-02-29,"1,932.23",-0.004128355255,0
2016-01-29,"1,940.24",-0.05073534448,0
2015-12-31,"2,043.94",-0.01753019837,0
2015-11-30,"2,080.41",0.0005049630656,1
2015-10-30,"2,079.36",0.08298307839,1
2015-09-30,"1,920.03",-0.02644281962,0
2015-08-31,"1,972.18",-0.06258080462,0
2015-07-31,"2,103.84",0.01974203993,1
2015-06-30,"2,063.11",-0.02101177286,0
2015-05-29,"2,107.39",0.01049143855,1
2015-04-30,"2,085.51",0.00852076271,1
