Date,Open,High,Close,Low,Trades,Change,Company
10/30/2025,111.94,113.5801,112.62,109.55,36977913,0.6074682866,DIS
10/23/2025,111.03,114.5395,111.68,110.6,36960469,0.585427362,DIS
10/16/2025,110.39,112.675,110.67,108.51,39967311,0.2536461636,DIS
10/9/2025,112.69,113.4,109.19,109.11,34763033,-3.105865649,DIS
10/2/2025,113.47,116.059,112.47,110.775,44187657,-0.8812902089,DIS
9/25/2025,111.76,114.1499,113.47,111.52,49891342,1.530064424,DIS
9/18/2025,116.11,116.75,113.76,111.93,54188619,-2.023942813,DIS
9/11/2025,117.96,119.05,115.96,114.495,35419740,-1.695489997,DIS
9/4/2025,117.02,119.78,117.91,115.9965,25828553,0.7605537515,DIS
8/28/2025,118.49,119.05,118.38,116.61,26490608,-0.09283483838,DIS
8/21/2025,115.19,119.775,118.86,115.16,32257793,3.186040455,DIS
8/14/2025,112.91,117.23,115.39,111.54,38403204,2.196439642,DIS
8/7/2025,117.725,119.57,112.43,111.82,71339826,-4.497770227,DIS
7/31/2025,121.03,121.4,116.59,115.57,33480175,-3.668511939,DIS
7/24/2025,121.07,123.4,121.47,120.56,32624694,0.3303873792,DIS
7/17/2025,119.775,122.39,121.42,118.875,40964931,1.373408474,DIS
7/10/2025,123.21,124.61,119.87,119.73,33377144,-2.710818927,DIS
7/2/2025,124.31,124.69,124,122.45,34841243,-0.2493765586,DIS
6/26/2025,116.66,122.94,122.34,115.02,47549690,4.868849649,DIS
6/19/2025,118.02,120.3416,117.63,116.84,44194857,-0.3304524657,DIS
6/12/2025,113.98,120.5,117.94,113.98,58533255,3.474293736,DIS
6/5/2025,112.68,114.69,113.9,111.8435,37241353,1.082712105,DIS
5/29/2025,111.025,113.35,113.04,110.15,38553866,1.814906553,DIS
5/22/2025,112.12,113.4,109.72,108.78,39783377,-2.140563682,DIS
5/15/2025,109.87,113.44,113.42,108.66,67078950,3.23109129,DIS
10/30/2025,387.7,390.005,379.59,375.0101,14318815,-2.091823575,HD
10/23/2025,391.41,393.63,386.68,381.295,13119116,-1.208451496,HD
10/16/2025,379.07,394.37,391.9,377.19,16457440,3.384599151,HD
10/9/2025,394.5,394.5,375.75,374.7795,14990853,-4.752851711,HD
10/2/2025,410.05,410.945,395.06,392.63,15924161,-3.65565175,HD
9/25/2025,414.11,414.88,410.09,405.01,13345430,-0.9707565623,HD
9/18/2025,422.47,426.75,415.69,415.1,23779008,-1.604847681,HD
9/11/2025,418.5,425.2199,422.69,411.735,20477043,1.001194743,HD
9/4/2025,403.68,420.4,418.95,402.75,16024017,3.782699168,HD
8/28/2025,410.36,411.69,406.77,404.7069,15510600,-0.8748416025,HD
8/21/2025,396.57,414.5,412.79,392.51,24459312,4.090072371,HD
8/14/2025,389.98,407.82,399.38,383.2975,18146766,2.410380019,HD
8/7/2025,374.84,391.45,387.85,373.69,13348913,3.470814214,HD
7/31/2025,373.74,381.08,373.66,365.75,16204798,-0.02140525499,HD
7/24/2025,360.72,377.88,375.34,359.84,15146685,4.053005101,HD
7/17/2025,370.475,371.29,359.4,352.46,17101031,-2.989405493,HD
7/10/2025,371,377.9448,370.07,364.7262,16121392,-0.2506738544,HD
7/2/2025,369.28,379.69,371.68,362.95,15339071,0.6499133449,HD
6/26/2025,349.97,370.1532,368.74,348.52,20803611,5.363316856,HD
6/19/2025,355.88,357.105,349.62,345.8,20429425,-1.759019894,HD
6/12/2025,367.32,369.14,354.66,352.8,15714548,-3.446586083,HD
6/5/2025,365.15,375.37,367.33,361.835,12970543,0.5970149254,HD
5/29/2025,365.89,371.15,368.29,364.06,14130268,0.6559348438,HD
5/22/2025,374.19,389.75,362.71,361.15,20754238,-3.067960127,HD
5/15/2025,375,381.17,380.78,370.8255,15105914,1.541333333,HD
10/30/2025,307.8,319.35,307.41,301.63,32440643,-0.126705653,IBM
10/23/2025,281.25,310.75,307.46,263.5623,51704434,9.319111111,IBM
10/16/2025,279.79,285.45,281.28,272.5469,19005226,0.5325422638,IBM
10/9/2025,288.61,301.0425,277.82,277.5,24789984,-3.738609196,IBM
10/2/2025,286,293.32,288.37,279.66,24519701,0.8286713287,IBM
9/25/2025,266.62,288.85,284.31,266,34154715,6.634911109,IBM
9/18/2025,254.02,267.87,266.4,254,25569601,4.873631997,IBM
9/11/2025,248.63,260.66,253.44,247.02,24066143,1.934601617,IBM
9/4/2025,240.9,249.28,248.53,238.25,14538355,3.167289332,IBM
8/28/2025,242.565,245.96,243.49,239.43,18386656,0.3813410838,IBM
8/21/2025,239.57,243.68,242.09,238.65,16264747,1.051884627,IBM
8/14/2025,242.24,243.15,239.72,233.36,32747166,-1.040290621,IBM
8/7/2025,251.05,255,242.27,241.65,27875384,-3.497311293,IBM
7/31/2025,260.3,265.7999,250.05,245.61,29960567,-3.937764118,IBM
7/24/2025,286.29,288.08,259.72,252.75,46388289,-9.28079919,IBM
7/17/2025,282.83,287.16,285.87,279.87,16341671,1.074850617,IBM
7/10/2025,292.5,295.61,283.59,282.21,17664449,-3.046153846,IBM
7/2/2025,290.93,295.1081,291.97,286.9,11878987,0.3574743065,IBM
6/26/2025,281.65,296.16,289.7,280.21,19051199,2.858157287,IBM
6/19/2025,279.305,286.91,280.97,277.2,17965949,0.5961225184,IBM
6/12/2025,268.1,283.06,277.22,266.71,20812836,3.401715778,IBM
